date,code region,region,gaz,elec,totale,entreprises,professionnels,residentiels,pme
date,code region,region,gaz,elec,totale,entreprises,professionnels,residentiels,pme
2020-01-01,32,Hauts-de-France,10470.0,6609.0,17079.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,75,Nouvelle-Aquitaine,3696.0,6070.0,9766.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,53,Bretagne,1945.0,3596.0,5541.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,52,Pays de la Loire,3049.0,4053.0,7102.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,24,Centre-Val de Loire,2262.0,2959.0,5221.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,28,Normandie,5595.0,4280.0,9875.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,11,Ile-de-France,13190.0,10461.0,23651.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,27,Bourgogne-Franche-Comté,3492.0,2729.0,6221.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,44,Grand-Est,11765.0,5745.0,17510.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,76,Occitanie,2814.0,5576.0,8390.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,93,Provence-Alpes-Côte d'Azur,5458.0,6120.0,11578.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-01,84,Auvergne-Rhône-Alpes,7795.0,8907.0,16702.0,9378595289.0,5285453183.0,27392132446.0,4861741695.0
2020-01-02,27,Bourgogne-Franche-Comté,3465.0,2586.0,6051.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,53,Bretagne,2156.0,3167.0,5323.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,11,Ile-de-France,10867.0,9791.0,20658.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,84,Auvergne-Rhône-Alpes,8224.0,8738.0,16962.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,75,Nouvelle-Aquitaine,4021.0,5545.0,9566.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,24,Centre-Val de Loire,2310.0,2540.0,4850.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,76,Occitanie,2898.0,5533.0,8431.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,44,Grand-Est,9903.0,5550.0,15453.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,32,Hauts-de-France,9510.0,6465.0,15975.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,28,Normandie,5449.0,3816.0,9265.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,93,Provence-Alpes-Côte d'Azur,5047.0,5942.0,10989.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-02,52,Pays de la Loire,2646.0,3430.0,6076.0,11901828655.0,6017573629.0,25602525793.0,6712775366.0
2020-01-03,44,Grand-Est,9497.0,5741.0,15238.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,27,Bourgogne-Franche-Comté,2937.0,2723.0,5660.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,28,Normandie,5909.0,3852.0,9761.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,24,Centre-Val de Loire,2268.0,2678.0,4946.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,75,Nouvelle-Aquitaine,4082.0,6000.0,10082.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,32,Hauts-de-France,9478.0,6573.0,16051.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,52,Pays de la Loire,3192.0,3636.0,6828.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,53,Bretagne,2353.0,3356.0,5709.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,93,Provence-Alpes-Côte d'Azur,6330.0,6079.0,12409.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,11,Ile-de-France,10748.0,9453.0,20201.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,76,Occitanie,2862.0,5744.0,8606.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-03,84,Auvergne-Rhône-Alpes,6947.0,9132.0,16079.0,12251763542.0,5948916135.0,24224851174.0,6285609259.0
2020-01-04,24,Centre-Val de Loire,2380.0,2669.0,5049.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,44,Grand-Est,10396.0,5516.0,15912.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,75,Nouvelle-Aquitaine,4320.0,5655.0,9975.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,76,Occitanie,2710.0,5560.0,8270.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,93,Provence-Alpes-Côte d'Azur,7264.0,5894.0,13158.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,27,Bourgogne-Franche-Comté,3227.0,2554.0,5781.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,28,Normandie,5703.0,4019.0,9722.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,84,Auvergne-Rhône-Alpes,7287.0,8581.0,15868.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,32,Hauts-de-France,10240.0,6552.0,16792.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,11,Ile-de-France,10883.0,9186.0,20069.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,53,Bretagne,2208.0,3540.0,5748.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-04,52,Pays de la Loire,3623.0,3713.0,7336.0,10012799841.0,5616254568.0,25125910244.0,5400035157.0
2020-01-05,24,Centre-Val de Loire,2707.0,2752.0,5459.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,27,Bourgogne-Franche-Comté,3736.0,2548.0,6284.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,44,Grand-Est,10940.0,5550.0,16490.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,32,Hauts-de-France,10171.0,6482.0,16653.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,84,Auvergne-Rhône-Alpes,8266.0,8660.0,16926.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,28,Normandie,5726.0,3925.0,9651.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,11,Ile-de-France,11986.0,9428.0,21414.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,53,Bretagne,2473.0,3458.0,5931.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,75,Nouvelle-Aquitaine,4848.0,6145.0,10993.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,93,Provence-Alpes-Côte d'Azur,6381.0,5865.0,12246.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,76,Occitanie,2791.0,5529.0,8320.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-05,52,Pays de la Loire,4101.0,3860.0,7961.0,9188344365.0,5265489841.0,26684647151.0,4802708408.0
2020-01-06,53,Bretagne,2425.0,3556.0,5981.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,24,Centre-Val de Loire,2534.0,2777.0,5311.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,84,Auvergne-Rhône-Alpes,8385.0,8909.0,17294.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,27,Bourgogne-Franche-Comté,3868.0,2659.0,6527.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,44,Grand-Est,12582.0,5656.0,18238.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,28,Normandie,6054.0,3857.0,9911.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,76,Occitanie,3264.0,5865.0,9129.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,93,Provence-Alpes-Côte d'Azur,7139.0,5812.0,12951.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,75,Nouvelle-Aquitaine,5191.0,6445.0,11636.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,32,Hauts-de-France,10710.0,6303.0,17013.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,11,Ile-de-France,11742.0,9381.0,21123.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-06,52,Pays de la Loire,3680.0,3973.0,7653.0,13951115892.0,6392645696.0,26542603094.0,6671028620.0
2020-01-07,44,Grand-Est,10417.0,6205.0,16622.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,76,Occitanie,3030.0,5854.0,8884.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,52,Pays de la Loire,2977.0,4086.0,7063.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,27,Bourgogne-Franche-Comté,3334.0,2963.0,6297.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,75,Nouvelle-Aquitaine,4595.0,6649.0,11244.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,32,Hauts-de-France,9296.0,6838.0,16134.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,84,Auvergne-Rhône-Alpes,7132.0,9278.0,16410.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,11,Ile-de-France,9930.0,9880.0,19810.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,53,Bretagne,2131.0,3551.0,5682.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,93,Provence-Alpes-Côte d'Azur,6283.0,5871.0,12154.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,24,Centre-Val de Loire,2167.0,2872.0,5039.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-07,28,Normandie,5435.0,4091.0,9526.0,14707944160.0,6378021393.0,24378720146.0,6679009047.0
2020-01-08,52,Pays de la Loire,3263.0,3744.0,7007.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,93,Provence-Alpes-Côte d'Azur,6668.0,6045.0,12713.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,44,Grand-Est,10422.0,6173.0,16595.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,24,Centre-Val de Loire,2009.0,2658.0,4667.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,75,Nouvelle-Aquitaine,4022.0,6016.0,10038.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,32,Hauts-de-France,9532.0,6684.0,16216.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,76,Occitanie,3061.0,5724.0,8785.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,53,Bretagne,2071.0,3293.0,5364.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,84,Auvergne-Rhône-Alpes,7453.0,9012.0,16465.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,28,Normandie,5267.0,3754.0,9021.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,27,Bourgogne-Franche-Comté,2869.0,2847.0,5716.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-08,11,Ile-de-France,8987.0,9411.0,18398.0,14566466689.0,5960175871.0,22473123834.0,6372395458.0
2020-01-09,53,Bretagne,2313.0,3200.0,5513.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,84,Auvergne-Rhône-Alpes,6167.0,8852.0,15019.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,27,Bourgogne-Franche-Comté,2810.0,2679.0,5489.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,32,Hauts-de-France,8526.0,6301.0,14827.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,44,Grand-Est,8973.0,5848.0,14821.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,52,Pays de la Loire,3397.0,3664.0,7061.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,93,Provence-Alpes-Côte d'Azur,5458.0,6020.0,11478.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,24,Centre-Val de Loire,2156.0,2523.0,4679.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,28,Normandie,5550.0,3579.0,9129.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,75,Nouvelle-Aquitaine,4065.0,5785.0,9850.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,11,Ile-de-France,9361.0,8807.0,18168.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-09,76,Occitanie,2778.0,5573.0,8351.0,14390344176.0,5894843871.0,21542981806.0,6368843993.0
2020-01-10,53,Bretagne,2419.0,3323.0,5742.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,75,Nouvelle-Aquitaine,4164.0,5754.0,9918.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,44,Grand-Est,10581.0,5712.0,16293.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,24,Centre-Val de Loire,2255.0,2553.0,4808.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,93,Provence-Alpes-Côte d'Azur,5309.0,5948.0,11257.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,32,Hauts-de-France,10227.0,6293.0,16520.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,76,Occitanie,2651.0,5369.0,8020.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,27,Bourgogne-Franche-Comté,2942.0,2619.0,5561.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,84,Auvergne-Rhône-Alpes,6773.0,8449.0,15222.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,28,Normandie,5758.0,3628.0,9386.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,52,Pays de la Loire,3675.0,3801.0,7476.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-10,11,Ile-de-France,11178.0,8761.0,19939.0,14102105822.0,6089804612.0,22599012599.0,6263415568.0
2020-01-11,28,Normandie,5810.0,4016.0,9826.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,53,Bretagne,1983.0,3531.0,5514.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,24,Centre-Val de Loire,2537.0,2708.0,5245.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,84,Auvergne-Rhône-Alpes,6732.0,8642.0,15374.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,76,Occitanie,3030.0,5680.0,8710.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,52,Pays de la Loire,3319.0,3942.0,7261.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,11,Ile-de-France,12665.0,9403.0,22068.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,27,Bourgogne-Franche-Comté,3066.0,2640.0,5706.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,44,Grand-Est,9942.0,5786.0,15728.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,32,Hauts-de-France,9531.0,6769.0,16300.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,75,Nouvelle-Aquitaine,4698.0,6177.0,10875.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-11,93,Provence-Alpes-Côte d'Azur,5329.0,6050.0,11379.0,10604365137.0,5689715617.0,25037840968.0,5391761403.0
2020-01-12,93,Provence-Alpes-Côte d'Azur,5465.0,5973.0,11438.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,75,Nouvelle-Aquitaine,4595.0,6413.0,11008.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,32,Hauts-de-France,8968.0,6562.0,15530.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,52,Pays de la Loire,3406.0,3778.0,7184.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,84,Auvergne-Rhône-Alpes,7548.0,8609.0,16157.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,28,Normandie,5939.0,3896.0,9835.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,27,Bourgogne-Franche-Comté,3168.0,2564.0,5732.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,76,Occitanie,3358.0,5994.0,9352.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,11,Ile-de-France,10600.0,9883.0,20483.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,53,Bretagne,2163.0,3254.0,5417.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,44,Grand-Est,9317.0,5685.0,15002.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-12,24,Centre-Val de Loire,2237.0,2833.0,5070.0,9562087329.0,5290203589.0,26453462147.0,4746748577.0
2020-01-13,32,Hauts-de-France,8217.0,6410.0,14627.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,52,Pays de la Loire,2675.0,3617.0,6292.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,53,Bretagne,2248.0,3200.0,5448.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,24,Centre-Val de Loire,2225.0,2583.0,4808.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,75,Nouvelle-Aquitaine,4585.0,6012.0,10597.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,84,Auvergne-Rhône-Alpes,7553.0,8749.0,16302.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,76,Occitanie,3425.0,6063.0,9488.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,44,Grand-Est,9937.0,5503.0,15440.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,11,Ile-de-France,10263.0,9222.0,19485.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,93,Provence-Alpes-Côte d'Azur,5437.0,5936.0,11373.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,27,Bourgogne-Franche-Comté,3328.0,2496.0,5824.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-13,28,Normandie,5789.0,3807.0,9596.0,14208838050.0,6096358191.0,24722243892.0,6579023542.0
2020-01-14,11,Ile-de-France,10103.0,9215.0,19318.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,28,Normandie,5717.0,3843.0,9560.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,53,Bretagne,2180.0,3346.0,5526.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,27,Bourgogne-Franche-Comté,3004.0,2776.0,5780.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,84,Auvergne-Rhône-Alpes,6516.0,9192.0,15708.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,75,Nouvelle-Aquitaine,4667.0,6433.0,11100.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,24,Centre-Val de Loire,2158.0,2944.0,5102.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,52,Pays de la Loire,2752.0,3825.0,6577.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,44,Grand-Est,9059.0,5861.0,14920.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,76,Occitanie,3305.0,6219.0,9524.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,93,Provence-Alpes-Côte d'Azur,4341.0,6083.0,10424.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-14,32,Hauts-de-France,8319.0,6766.0,15085.0,14768171984.0,6119735762.0,23207262362.0,6515922254.0
2020-01-15,24,Centre-Val de Loire,2253.0,2818.0,5071.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,76,Occitanie,2965.0,5837.0,8802.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,11,Ile-de-France,11103.0,9070.0,20173.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,53,Bretagne,2455.0,3292.0,5747.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,32,Hauts-de-France,10934.0,6670.0,17604.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,75,Nouvelle-Aquitaine,4357.0,6097.0,10454.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,52,Pays de la Loire,3789.0,3884.0,7673.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,44,Grand-Est,10120.0,5809.0,15929.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,28,Normandie,6012.0,3720.0,9732.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,27,Bourgogne-Franche-Comté,2724.0,2638.0,5362.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,93,Provence-Alpes-Côte d'Azur,5184.0,5797.0,10981.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-15,84,Auvergne-Rhône-Alpes,6527.0,8753.0,15280.0,14671291333.0,5869166540.0,22540723364.0,6312939161.0
2020-01-16,11,Ile-de-France,9213.0,9427.0,18640.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,52,Pays de la Loire,3221.0,3998.0,7219.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,84,Auvergne-Rhône-Alpes,6533.0,8651.0,15184.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,53,Bretagne,2182.0,3477.0,5659.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,93,Provence-Alpes-Côte d'Azur,5323.0,5781.0,11104.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,24,Centre-Val de Loire,1987.0,2670.0,4657.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,27,Bourgogne-Franche-Comté,2958.0,2549.0,5507.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,44,Grand-Est,9853.0,5675.0,15528.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,32,Hauts-de-France,8422.0,6849.0,15271.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,75,Nouvelle-Aquitaine,3878.0,5892.0,9770.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,76,Occitanie,2738.0,5561.0,8299.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-16,28,Normandie,5573.0,4066.0,9639.0,14674515954.0,5916447573.0,22106025996.0,6393860653.0
2020-01-17,28,Normandie,6246.0,3694.0,9940.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,52,Pays de la Loire,3900.0,3708.0,7608.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,53,Bretagne,2557.0,3296.0,5853.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,24,Centre-Val de Loire,2359.0,2566.0,4925.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,75,Nouvelle-Aquitaine,4015.0,5681.0,9696.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,84,Auvergne-Rhône-Alpes,6832.0,8667.0,15499.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,44,Grand-Est,11161.0,5788.0,16949.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,93,Provence-Alpes-Côte d'Azur,7648.0,5626.0,13274.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,76,Occitanie,2793.0,5481.0,8274.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,11,Ile-de-France,11533.0,8919.0,20452.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,32,Hauts-de-France,11460.0,6595.0,18055.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-17,27,Bourgogne-Franche-Comté,3053.0,2634.0,5687.0,14186830301.0,5994984273.0,22406711625.0,6283099757.0
2020-01-18,24,Centre-Val de Loire,2493.0,2745.0,5238.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,75,Nouvelle-Aquitaine,4423.0,6170.0,10593.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,84,Auvergne-Rhône-Alpes,7778.0,8775.0,16553.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,52,Pays de la Loire,3885.0,3999.0,7884.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,44,Grand-Est,11771.0,5766.0,17537.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,32,Hauts-de-France,11612.0,6783.0,18395.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,28,Normandie,6438.0,4040.0,10478.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,27,Bourgogne-Franche-Comté,3434.0,2604.0,6038.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,76,Occitanie,3112.0,5837.0,8949.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,93,Provence-Alpes-Côte d'Azur,7579.0,5728.0,13307.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,53,Bretagne,2415.0,3608.0,6023.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-18,11,Ile-de-France,13130.0,9557.0,22687.0,10733443669.0,5751954460.0,25519040179.0,5426709707.0
2020-01-19,44,Grand-Est,11862.0,5911.0,17773.0,9839194931.0,5497890600.0,28226136139.0,4881559667.0
2020-01-19,11,Ile-de-France,13718.0,10055.0,23773.0,9839194931.0,5497890600.0,28226136139.0,4881559667.0
2020-01-19,53,Bretagne,2636.0,3583.0,6219.0,9839194931.0,5497890600.0,28226136139.0,4881559667.0
2020-01-19,76,Occitanie,3109.0,5687.0,8796.0,9839194931.0,5497890600.0,28226136139.0,4881559667.0
2020-01-19,75,Nouvelle-Aquitaine,4579.0,6119.0,10698.0,9839194931.0,5497890600.0,28226136139.0,4881559667.0
2020-01-19,32,Hauts-de-France,11903.0,6832.0,18735.0,9839194931.0,5497890600.0,28226136139.0,4881559667.0
2020-01-19,93,Provence-Alpes-Côte d'Azur,7752.0,6019.0,13771.0,9839194931.0,5497890600.0,28226136139.0,4881559667.0
